order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI200000,O121246,P1138,1,307.5,0.2
OI200001,O103523,P1146,2,53.36,0.1
OI200002,O112583,P1030,1,292.37,0.0
OI200003,O121930,P1157,1,177.7,0.0
OI200004,O103186,P1146,2,52.18,0.0
OI200005,O111258,P1104,5,424.29,0.0
OI200006,O109063,P1020,3,92.25,0.15
OI200007,O109096,P1043,3,218.38,0.0
OI200008,O109918,P1004,5,139.78,0.0
OI200009,O115130,P1090,1,434.31,0.0
OI200010,O119608,P1030,2,280.64,0.2
OI200011,O117892,P1047,1,144.91,0.0
OI200012,O102707,P1025,5,275.36,0.0
OI200013,O108720,P1070,1,82.14,0.0
OI200014,O117283,P1081,3,344.79,0.0
OI200015,O114822,P1164,5,244.18,0.1
OI200016,O108671,P1103,2,151.39,0.25
OI200017,O111349,P1022,3,79.0,0.1
OI200018,O112298,P1179,2,126.58,0.0
OI200019,O103677,P1087,1,245.55,0.0
OI200020,O121668,P1051,3,62.91,0.0
OI200021,O119787,P1155,4,102.84,0.05
OI200022,O119103,P1065,4,193.23,0.1
OI200023,O116938,P1035,1,77.49,0.1
OI200024,O115171,P1101,5,283.3,0.05
OI200025,O117264,P1081,1,334.14,0.05
OI200026,O108519,P1053,2,307.2,0.0
OI200027,O109162,P1136,2,61.05,0.0
OI200028,O100097,P1024,1,16.6,0.0
OI200029,O121310,P1097,1,255.09,0.0
OI200030,O104396,P1035,1,82.65,0.15
OI200031,O114223,P1013,3,178.97,0.0
OI200032,O112215,P1099,2,219.56,0.05
OI200033,O114784,P1009,1,319.5,0.05
OI200034,O112403,P1008,1,16.33,0.0
OI200035,O119961,P1104,4,423.55,0.15
OI200036,O119468,P1120,2,275.64,0.05
OI200037,O109908,P1002,1,212.65,0.0
OI200038,O105230,P1130,4,244.21,0.05
OI200039,O109589,P1009,1,315.0,0.0
OI200040,O112792,P1179,1,120.07,0.15
OI200041,O105375,P1152,3,107.92,0.15
OI200042,O117959,P1022,2,81.06,0.1
OI200043,O114762,P1112,1,139.61,0.2
OI200044,O111571,P1010,1,55.4,0.1
OI200045,O108746,P1149,1,17.25,0.15
OI200046,O117272,P1052,3,193.59,0.0
OI200047,O116463,P1026,1,184.06,0.0
OI200048,O108882,P1121,5,205.15,0.0
OI200049,O103392,P1046,4,248.43,0.1
OI200050,O110683,P1105,5,197.85,0.0
OI200051,O120503,P1140,1,120.37,0.1
OI200052,O102869,P1117,5,159.69,0.2
OI200053,O117325,P1157,3,171.66,0.1
OI200054,O103859,P1173,2,207.62,0.2
OI200055,O105097,P1119,1,359.29,0.0
OI200056,O100432,P1097,1,267.45,0.0
OI200057,O110253,P1157,3,165.07,0.2
OI200058,O101664,P1087,1,252.71,0.25
OI200059,O110325,P1000,2,32.7,0.1
OI200060,O116198,P1035,5,81.28,0.1
OI200061,O120862,P1011,2,357.71,0.1
OI200062,O117124,P1019,5,171.28,0.2
OI200063,O105535,P1119,1,367.31,0.0
OI200064,O117283,P1129,3,120.12,0.0
OI200065,O116271,P1088,3,125.69,0.05
OI200066,O108179,P1159,1,95.25,0.1
OI200067,O119152,P1108,1,210.86,0.05
OI200068,O111421,P1030,1,266.47,0.2
OI200069,O116070,P1147,1,240.13,0.0
OI200070,O121523,P1055,4,91.58,0.15
OI200071,O110427,P1023,2,22.41,0.0
OI200072,O110016,P1104,1,469.5,0.05
OI200073,O104963,P1092,2,356.48,0.15
OI200074,O117995,P1041,5,125.21,0.15
OI200075,O117464,P1130,4,227.76,0.05
OI200076,O107694,P1067,5,389.84,0.2
OI200077,O107315,P1078,5,194.45,0.0
OI200078,O120176,P1070,3,81.71,0.1
OI200079,O114633,P1099,2,221.1,0.15
OI200080,O108301,P1138,1,325.6,0.0
OI200081,O117372,P1148,1,285.14,0.15
OI200082,O112712,P1038,1,41.0,0.25
OI200083,O102443,P1139,2,278.45,0.0
OI200084,O102834,P1021,4,432.29,0.25
OI200085,O116524,P1145,2,210.19,0.0
OI200086,O106513,P1069,2,102.91,0.0
OI200087,O109204,P1143,4,60.94,0.0
OI200088,O116544,P1159,4,101.51,0.1
OI200089,O108819,P1052,3,185.74,0.2
OI200090,O111910,P1048,2,159.85,0.05
OI200091,O104139,P1121,3,202.01,0.0
OI200092,O107441,P1178,1,87.14,0.0
OI200093,O113033,P1011,3,363.35,0.0
