return_id,order_id,return_date,return_reason,refund_amount
R30000,O121629,2025-04-06,Not As Described,131.8
R30001,O118524,2025-04-07,Changed Mind,52.14
R30002,O105552,2025-02-16,Late Delivery,128.33
R30003,O101581,2025-05-20,Damaged,242.62
R30004,O112555,2025-04-18,Size Issue,6.31
R30005,O118803,2025-02-22,Size Issue,170.87
R30006,O109479,2025-01-14,Wrong Item,82.76
R30007,O107486,2025-06-10,Wrong Item,189.48
R30008,O104896,2025-06-22,Damaged,307.52
R30009,O106222,2025-02-24,Not As Described,8.32
R30010,O114914,2025-06-04,Late Delivery,106.11
R30011,O109808,2025-06-18,Damaged,51.66
R30012,O102840,2025-05-12,Late Delivery,319.39
R30013,O102548,2025-03-12,Not As Described,170.87
R30014,O112318,2025-04-06,Size Issue,182.71
R30015,O102343,2025-02-09,Changed Mind,15.66
R30016,O101648,2025-04-13,Size Issue,277.49
R30017,O113203,2025-06-14,Size Issue,348.79
R30018,O114653,2025-04-08,Wrong Item,326.09
R30019,O107678,2025-06-25,Changed Mind,70.48
R30020,O101440,2025-07-01,Not As Described,256.95
R30021,O117246,2025-03-03,Damaged,347.06
R30022,O106506,2025-03-09,Damaged,176.37
R30023,O107080,2025-02-14,Size Issue,137.09
R30024,O101421,2025-02-20,Wrong Item,37.72
R30025,O114139,2025-02-15,Changed Mind,89.26
R30026,O105865,2025-06-20,Size Issue,51.28
R30027,O109805,2025-07-04,Wrong Item,260.81
R30028,O109896,2025-05-01,Changed Mind,80.11
R30029,O103215,2025-03-07,Not As Described,220.97
R30030,O119594,2025-06-14,Changed Mind,145.15
R30031,O107092,2025-02-25,Damaged,7.1
R30032,O100315,2025-05-21,Not As Described,337.67
R30033,O114164,2025-06-11,Late Delivery,257.45
R30034,O103776,2025-06-12,Damaged,63.3
R30035,O108262,2025-02-21,Wrong Item,180.83
R30036,O111740,2025-01-08,Wrong Item,320.5
R30038,O115705,2025-04-11,Not As Described,44.22
R30039,O110251,2025-05-09,Changed Mind,331.91
R30040,O113743,2025-07-03,Wrong Item,302.71
R30041,O112728,2025-07-04,Damaged,287.65
R30043,O110988,2025-04-08,Size Issue,252.26
R30044,O118909,2025-03-06,Late Delivery,263.89
R30045,O106763,2025-02-10,Late Delivery,175.27
R30046,O103188,2025-03-07,Changed Mind,20.49
R30047,O106008,2025-04-26,Not As Described,67.01
R30048,O107356,2025-04-27,Late Delivery,136.4
R30049,O103014,2025-01-30,Changed Mind,324.47
R30050,O107757,2025-05-17,Not As Described,140.66
R30051,O110955,2025-04-07,Not As Described,267.61
R30052,O105804,2025-01-16,Size Issue,205.51
R30053,O105887,2025-05-08,Late Delivery,24.91
R30054,O121373,2025-04-19,Wrong Item,263.58
R30055,O110429,2025-01-31,Changed Mind,216.1
R30056,O118418,2025-01-20,Changed Mind,346.68
R30057,O110725,2025-05-29,Wrong Item,62.25
R30058,O121774,2025-05-05,Late Delivery,163.75
R30059,O101585,2025-01-19,Changed Mind,71.97
R30060,O121706,2025-05-18,Late Delivery,274.7
R30061,O118619,2025-02-24,Not As Described,279.34
R30062,O104091,2025-04-17,Size Issue,119.97
R30063,O116535,2025-06-12,Not As Described,40.77
R30065,O121491,2025-02-07,Changed Mind,142.89
R30066,O115457,2025-05-17,Wrong Item,7.01
R30067,O105490,2025-02-17,Changed Mind,35.86
R30068,O111546,2025-02-28,Changed Mind,147.92
R30069,O119866,2025-04-15,Size Issue,312.39
R30070,O102328,2025-01-17,Changed Mind,17.62
R30071,O119821,2025-02-02,Wrong Item,130.18
R30072,O103418,2025-01-11,Damaged,331.42
R30073,O101587,2025-05-13,Wrong Item,191.64
R30074,O106158,2025-02-08,Changed Mind,310.58
R30075,O110640,2025-02-16,Late Delivery,342.1
R30076,O112112,2025-04-19,Size Issue,224.49
R30077,O113485,2025-02-02,Damaged,98.54
R30078,O112718,2025-04-08,Size Issue,347.27
R30079,O119866,2025-06-22,Not As Described,166.77
R30080,O102875,2025-05-29,Not As Described,127.62
R30081,O119733,2025-03-05,Wrong Item,82.08
R30082,O102349,2025-05-30,Damaged,126.31
R30083,O108318,2025-06-30,Damaged,236.85
R30084,O118966,2025-05-31,Changed Mind,92.47
