order_id,customer_id,order_date,payment_method,sales_channel,order_status,shipping_city,shipping_fee
O100000,C13116,2025-05-05 00:00:00,"""Bank Transfer""",Marketplace,Completed,aRmAvir,2.5
O100001,C10764,2025-12-23 00:00:00,Cash,Website,Completed,ETCHMIADZIN,0.0
O100002,C12422,2025-04-26 00:00:00,Cash,Website,Completed,VnZ,8.5
O100003,C11314,2025-06-03 00:00:00,CarD,Website,Completed,"""""kapan""""",2.5
O100004,C10206,2025-12-17 00:00:00,Card,Mobile App,Pending,#Gyumri,8.5
O100005,C12018,2025-02-11 00:00:00,BANK TRANSFER,Marketplace,Shipped,Abovyan,0.0
O100006,C12566,2025-12-01 00:00:00,AppLe Pay,Social Media,Completed,Dilijan,0.0
O100007,C12289,2025-11-29 00:00:00,CASH,Website,Completed,'Hrazdan',0.0
O100008,C13185,2025-01-17 00:00:00,PayPal,Mobile App,Shipped,  Abovyan  ,4.5
O100009,C12866,2025-02-17 00:00:00,paypaL,Website,Completed,GMR,0.0
O100010,C12349,2025-07-27 00:00:00,#Cash,Social Media,Shipped,Gyumri,8.5
O100011,C13347,2025-07-14 00:00:00,  Card  ,Marketplace,Completed,Etchmiadzin,8.5
O100012,C13167,2025-07-13 00:00:00,"""Bank Transfer""",Website,Completed,artashat,4.5
O100013,C11317,2025-10-10 00:00:00,Card,Website,Completed,Kapan,8.5
O100014,C10700,2025-09-01 00:00:00,"""""Card""""",Website,Completed,  ARMAVIR  ,2.5
O100015,C13431,2025-01-29 00:00:00,CARD,Mobile App,Pending,Etchmiadzin,0.0
O100016,C10287,2025-11-23 00:00:00,Apple Pay,Marketplace,Completed,Armavir,0.0
O100017,C12201,2025-01-05 00:00:00,"""card""",Social Media,Completed,Dilijan,8.5
O100018,C11593,2025-12-26 00:00:00,Bank Transfer,Mobile App,Pending,abOvYAn,4.5
O100019,C12470,2025-03-29 00:00:00,PayPal,Mobile App,Completed,Dilijan,0.0
O100020,C10849,2025-02-12 00:00:00,bank transfer,Website,Shipped,Kapan,2.5
O100021,C10049,2025-09-13 00:00:00,Cash,Mobile App,Completed,"Vanadzor,",0.0
O100022,C11230,2025-08-11 00:00:00,"""""Bank Transfer""""",Website,Shipped,Vanadzor,2.5
O100023,C12611,2025-11-27 00:00:00,CARD,Mobile App,Completed,vanadzor,2.5
O100024,C12901,2025-06-19 00:00:00,caRd,Website,Shipped,#DIlIjAN,0.0
O100025,C12930,2025-10-17 00:00:00,#APPLE PAY,Website,Cancelled,Hrazdan,8.5
O100026,C12709,2025-02-18 00:00:00,Card,Mobile App,Cancelled,Etchmiadzin,6.0
O100027,C12612,2025-09-28 00:00:00,Bank Transfer,Social Media,Pending,Abovyan,0.0
O100028,C12260,2025-01-22 00:00:00,CASH,Mobile App,Completed,Hrazdan,0.0
O100029,C13137,2025-04-28 00:00:00,Card,Mobile App,Shipped,Vandz.,4.5
O100030,C13303,2025-04-19 00:00:00,#Apple Pay,Marketplace,Completed,"""""ArMaViR""""",4.5
O100031,C11908,2025-12-21 00:00:00,PayPal,Website,Completed,"Dilijan,",0.0
O100032,C12858,2025-10-18 00:00:00,Card.,Website,Completed,Etchmiadzin,6.0
O100033,C12897,2025-09-01 00:00:00,Apple Pay,Social Media,Cancelled,  Abovyan  ,0.0
O100034,C11686,2025-05-19 00:00:00,Bank Transfer,Social Media,Cancelled,YEREVAN,2.5
O100035,C11740,2025-01-24 00:00:00,CArD,Website,Shipped,dilijan.,8.5
O100036,C11343,2025-02-08 00:00:00,BAnK tRansFer,Website,Completed,"Vanadzor,",0.0
O100037,C11790,2025-12-17 00:00:00,"Card,",Marketplace,Cancelled,Armavir,4.5
O100038,C13208,2025-05-24 00:00:00,CASH.,Mobile App,Completed,gyumri,0.0
O100039,C12928,2025-10-06 00:00:00,CARD,Website,Shipped,Abovyan,0.0
O100040,C11960,2025-10-16 00:00:00,#cash,Website,Completed,DILIJAN,0.0
O100041,C11088,2025-12-03 00:00:00,Cash,Social Media,Shipped,HRAZDan.,2.5
O100042,C11155,2025-01-17 00:00:00,PayPal,Website,Cancelled,Etchmiadzin,0.0
O100043,C12381,2025-04-02 00:00:00,'bank transfer',Website,Completed,GYUMRI CITY,4.5
O100044,C10031,2025-06-11 00:00:00,Card,Mobile App,Completed,#KAPAN,2.5
O100045,C10867,2025-01-09 00:00:00,PAyPal,Website,Completed,Artashat,0.0
O100046,C12945,2025-04-17 00:00:00,Cash,Website,Shipped,ARTASHAT,0.0
O100047,C11266,2025-10-28 00:00:00,bank transfer,Website,Pending,Abovyan,0.0
O100048,C11215,2025-03-15 00:00:00,Card,Website,Completed,Dilijan,0.0
O100049,C11165,2025-12-31 00:00:00,PayPal,Marketplace,Pending,Abovyan,6.0
O100050,C11683,2025-07-23 00:00:00,"""Apple Pay""",Mobile App,Cancelled,Gyumri,2.5
O100051,C10600,2025-02-09 00:00:00,'PayPal',Website,Shipped,ARTASHAT,2.5
O100052,C12025,2025-06-03 00:00:00,apple pay,Website,Pending,Hrazdan,6.0
O100053,C11584,2025-03-25 00:00:00,"""cARD""",Website,Completed,Kapan,2.5
O100054,C10987,2025-10-16 00:00:00,PayPal,Website,Completed,#Vanadzor,8.5
O100055,C11214,2025-05-04 00:00:00,Cash,Mobile App,Completed,  Armavir  ,0.0
O100056,C11965,2025-10-18 00:00:00,Card,Website,Completed,kapan,6.0
O100057,C13220,2025-07-19 00:00:00,BANK TRANSFER,Website,Completed,Armavir,0.0
O100058,C12646,2025-12-13 00:00:00,Bank Transfer,Marketplace,Pending,Gyumri,2.5
O100059,C11439,2025-10-04 00:00:00,"""Card""",Website,Cancelled,Armavir,8.5
O100060,C10519,2025-06-19 00:00:00,CaRD,Website,Cancelled,Yerevan,0.0
O100061,C11758,2025-07-16 00:00:00,Card,Marketplace,Completed,'Dilijan',8.5
O100062,C10868,2025-03-13 00:00:00,CARD,Marketplace,Cancelled,"""""Vagharshapat""""",0.0
O100063,C12063,2025-12-19 00:00:00,"card,",Marketplace,Completed,Etchmiadzin.,0.0
O100064,C11831,2025-02-10 00:00:00,Card,Mobile App,Shipped,Dilijan,2.5
O100065,C11129,2025-09-14 00:00:00,Card,Social Media,Completed,dIlijAN,0.0
O100066,C10282,2025-06-27 00:00:00,Apple Pay,Marketplace,Cancelled,Kapan,6.0
O100067,C13175,2025-01-28 00:00:00,paypal,Website,Completed,'Abovyan',6.0
O100068,C10360,2025-02-20 00:00:00,'CARD',Mobile App,Completed,Armavir,8.5
O100069,C11058,2025-08-12 00:00:00,Apple Pay,Website,Completed,GyuMRI,2.5
O100070,C12160,2025-04-29 00:00:00,Bank Transfer,Mobile App,Completed,Armavir,4.5
O100071,C12355,2025-02-08 00:00:00,#card,Website,Pending,"""Kapan""",4.5
O100072,C11934,2025-06-24 00:00:00,Card,Website,Completed,Dilijan,0.0
O100073,C10958,2025-11-06 00:00:00,CARD,Website,Completed,ETCHMIADZIN,8.5
O100074,C11076,2025-11-11 00:00:00,"Card,",Website,Completed,ARMAVIR.,2.5
O100075,C11104,2025-11-01 00:00:00,"""""Card""""",Website,Shipped,Gyumri,2.5
O100076,C11639,2025-07-23 00:00:00,Cash,Mobile App,Completed,armavir,0.0
O100077,C12881,2025-06-17 00:00:00,"Cash,",Website,Completed,Dilijan,4.5
O100078,C11392,2025-01-16 00:00:00,PayPal,Marketplace,Completed,'Abovyan',0.0
O100079,C12289,2025-11-21 00:00:00,Card,Mobile App,Pending,kaPaN,8.5
O100080,C10030,2025-05-20 00:00:00,#Bank Transfer,Mobile App,Pending,Dilijan,0.0
O100081,C10703,2025-08-19 00:00:00,cash,Website,Completed,'armavir',0.0
O100082,C10868,2025-09-09 00:00:00,Apple Pay,Marketplace,Pending,Vanadzor.,0.0
O100083,C11384,2025-04-27 00:00:00,Card,Mobile App,Pending,"""Armavir""",0.0
O100084,C10232,2025-07-02 00:00:00,PayPal,Marketplace,Completed,YeRevaN CitY,0.0
O100085,C11057,2025-10-11 00:00:00,PayPal,Website,Shipped,Artashat,0.0
O100086,C11266,2025-07-12 00:00:00,Bank Transfer,Website,Pending,#Gyumri City,0.0
O100087,C10950,2025-08-10 00:00:00,Bank Transfer,Website,Completed,gyumri,8.5
O100088,C10058,2025-04-06 00:00:00,'Card',Website,Completed,"""""HRAZDAN""""",2.5
O100089,C12818,2025-12-15 00:00:00,Apple Pay,Website,Cancelled,Armavir,0.0
O100090,C13149,2025-10-27 00:00:00,CARd,Marketplace,Pending,yerevan,6.0
O100091,C12765,2025-12-05 00:00:00,cash,Mobile App,Pending,Vandz.,0.0
O100092,C10301,2025-07-14 00:00:00,Card,Website,Cancelled,armavir,0.0
O100093,C12850,2025-02-13 00:00:00,Card,Mobile App,Cancelled,kapaN.,8.5
O100094,C12944,2025-11-13 00:00:00,Bank Transfer,Website,Completed,Vagharshapat,4.5
O100095,C12045,2025-06-01 00:00:00,PayPal,Website,Completed,Yerevan,0.0
O100096,C12159,2025-05-07 00:00:00,Card,Mobile App,Cancelled,Abovyan,2.5
O100097,C13484,2025-02-07 00:00:00,Apple Pay,Mobile App,Completed,'vanadzor',0.0
O100098,C11923,2025-02-12 00:00:00,  Cash  ,Mobile App,Completed,"Dilijan,",6.0
O100099,C10316,2025-05-18 00:00:00,CArd,Website,Cancelled,Dilijan,0.0
O100100,C11888,2025-03-20 00:00:00,#card,Website,Completed,Kapan,6.0
O100101,C11168,2025-07-14 00:00:00,"""bank transfer""",Social Media,Shipped,ARMAVIR,2.5
O100102,C12715,2025-12-31 00:00:00,Card,Social Media,Completed,Kapan,8.5
O100103,C10689,2025-11-21 00:00:00,CASH,Website,Cancelled,hrazdan,6.0
O100104,C11881,2025-03-20 00:00:00,card,Mobile App,Completed,Artashat,0.0
O100105,C11953,2025-07-19 00:00:00,Card,Website,Completed,aBovyan,0.0
O100106,C10017,2025-06-12 00:00:00,baNK tRANsfeR,Website,Pending,'Vanadzor',0.0
O100107,C13422,2025-07-04 00:00:00,  Card  ,Marketplace,Pending,Armavir,4.5
O100108,C11178,2025-02-24 00:00:00,Card,Mobile App,Cancelled,"YEREVAN,",6.0
O100109,C11529,2025-02-16 00:00:00,"""""Card""""",Marketplace,Cancelled,"""dILIjAn""",4.5
O100110,C10777,2025-01-03 00:00:00,  card  ,Mobile App,Completed,GMR,0.0
O100111,C10359,2025-06-07 00:00:00,card,Mobile App,Completed,DILIJAN,0.0
O100112,C10331,2025-08-16 00:00:00,  Cash  ,Website,Shipped,Hrazdan,4.5
O100113,C11941,2025-07-04 00:00:00,Bank Transfer,Mobile App,Completed,artashat,6.0
O100114,C10527,2025-05-19 00:00:00,'card',Social Media,Completed,ETCH.,0.0
O100115,C12059,2025-02-22 00:00:00,CARD,Website,Completed,KAPAN,6.0
O100116,C11098,2025-03-09 00:00:00,CARD,Website,Pending,Vanadzor,4.5
O100117,C10211,2025-02-14 00:00:00,Card,Social Media,Completed,Hrazdan,0.0
O100118,C11714,2025/13/45,CaSH,Website,Pending,'Abovyan',0.0
O100119,C12688,2025-08-09 00:00:00,Card,Website,Completed,hrazdan,0.0
O100120,C12330,2025-08-18 00:00:00,"""""Card""""",Website,Completed,Abovyan,4.5
O100121,C13266,2025-10-13 00:00:00,PayPal.,Website,Completed,"""Vagharshapat""",6.0
O100122,C12827,2025-10-12 00:00:00,Card,Website,Shipped,Abovyan,6.0
O100123,C11053,2025-09-20 00:00:00,Bank Transfer,Mobile App,Completed,"""Etchmiadzin""",8.5
O100124,C11032,2025-07-28 00:00:00,Cash,Mobile App,Completed,armavir,0.0
O100125,C11332,2025-02-22 00:00:00,card,Mobile App,Completed,  Artashat  ,0.0
O100126,C11333,2025-01-14 00:00:00,'Bank Transfer',Mobile App,Completed,VaGhARsHapAt,0.0
O100127,C12724,2025-02-15 00:00:00,CASH,Website,Completed,"KapAn,",8.5
O100128,C12752,2025-07-01 00:00:00,"""CARD""",Marketplace,Completed,Gyumri,0.0
O100129,C12473,2025-10-11 00:00:00,BANK TRANSFER.,Social Media,Cancelled,Abovyan,2.5
O100130,C11840,2025-02-17 00:00:00,PayPal,Website,Shipped,Abovyan,0.0
O100131,C11795,2025-11-02 00:00:00,Apple Pay,Website,Completed,Artashat,6.0
O100132,C11727,2025-11-03 00:00:00,bank transfer,Website,Completed,Etch.,0.0
O100133,C10590,2025-06-16 00:00:00,PayPal,Website,Pending,"Armavir,",0.0
O100134,C11714,2025-07-17 00:00:00,CARD,Marketplace,Completed,#DILIJAN,8.5
O100135,C12138,2025-01-07 00:00:00,Cash,Website,Completed,Kapan,0.0
O100136,C10455,2025-05-30 00:00:00,Card,Mobile App,Shipped,GYUMRI,0.0
O100137,C10443,2025-07-31 00:00:00,card,Website,Completed,Hrazdan.,6.0
O100138,C10078,2025-07-18 00:00:00,Cash,Mobile App,Completed,ARTAShaT,6.0
O100139,C11498,2025-02-13 00:00:00,Bank Transfer,Website,Completed,DILIJAN,0.0
O100140,C10926,2025-10-14 00:00:00,  Card  ,Mobile App,Shipped,Dilijan,0.0
O100141,C12150,2025-05-05 00:00:00,Bank Transfer,Social Media,Completed,ETCH.,8.5
O100142,C10622,2025-10-20 00:00:00,cASh,Website,Completed,  ARTASHAT  ,0.0
O100143,C11479,2025-09-24 00:00:00,card,Website,Completed,Artashat,6.0
O100144,C13037,2025-03-28 00:00:00,CARD,Website,Pending,"""""GYUMRI""""",0.0
O100145,C13385,2025-12-17 00:00:00,cARd,Mobile App,Completed,Vanadzor,0.0
O100146,C13318,2025-07-14 00:00:00,CARD.,Website,Completed,Dilijan,0.0
O100147,C10233,2025-03-28 00:00:00,"""Bank Transfer""",Marketplace,Completed,gyumri,0.0
O100148,C11617,2025-03-13 00:00:00,Card,Website,Cancelled,hrazdan,0.0
O100149,C12691,2025-05-18 00:00:00,card,Website,Completed,ARMAVIR,4.5
O100150,C12030,2025-06-04 00:00:00,baNK TRaNSfEr,Mobile App,Completed,Etch.,0.0
O100151,C13306,2025-05-18 00:00:00,cash,Website,Completed,  Armavir  ,6.0
O100152,C12837,2025-09-10 00:00:00,Card,Mobile App,Completed,yerevan city,0.0
O100153,C10386,2025-03-16 00:00:00,Card,Website,Completed,#Artashat,2.5
O100154,C12894,2025-02-02 00:00:00,Card,Marketplace,Cancelled,"""kapan""",0.0
O100155,C11634,2025-03-27 00:00:00,PayPal,Website,Completed,ABOVYAN,8.5
O100156,C10037,2025-08-11 00:00:00,paypal.,Mobile App,Shipped,Armavir,0.0
O100157,C11184,2025-05-22 00:00:00,Bank Transfer,Website,Cancelled,Kapan,0.0
O100158,C11485,2025-08-04 00:00:00,card,Website,Cancelled,"""Hrazdan""",8.5
O100159,C11967,2025-06-03 00:00:00,bank transfer,Mobile App,Shipped,  Hrazdan  ,2.5
