product_id,product_name,category,brand,unit_cost,list_price
P1000,Nexo Lite 1,'Books',Peak,18.43,31.44
P1001,Astra X 2,accessories,Nexo,23.62,53.51
P1002,Lumen Max 3,ACCESSORIES,Nova,,224.39
P1003,Lumen Go 4,"""""Electronics""""",UrbanLife,111.61,257.87
P1004,Peak Go 5,Beauty,Lumen,53.11,142.58
P1005,Peak X 6,Clothing,Lumen,130.44,214.6
P1006,Nexo Go 7,Electronics,Vertex,109.11,274.82
P1007,Nova Classic 8,Sports,Nexo,61.84,146.04
P1008,HomePro Classic 9,"""Accessories""",Nexo,9.44,16.76
P1009,Vertex Pro 10,"""""BEaUTY""""",Lumen,136.28,315.42
P1010,Nexo Pro 11,Accessories,Peak,42.58,-59.65
P1011,Ararat Tech Go 12,SPORTS,Mira,151.03,361.65
P1012,Lumen Classic 13,Beauty,Nexo,78.55,158.82
P1013,Peak Classic 14,Accessories,Vertex,105.99,177.41
P1014,Lumen Plus 15,Sports,Lumen,157.77,347.23
P1015,UrbanLife Lite 16,SPORtS,Mira,156.13,340.42
P1016,Lumen Max 17,#AccessoRiES,HomePro,70.02,108.79
P1017,Nova X 18,Accessories,Ararat Tech,,53.78
P1018,Peak X 19,#books,Mira,140.65,264.25
P1019,Nexo Max 20,Electronics,Nexo,80.79,-167.7
P1020,Nova Classic 21,Electronics,Ararat Tech,38.61,97.34
P1021,HomePro Go 22,Beauty,Nexo,163.27,423.83
P1022,Ararat Tech Max 23,Clothing,Vertex,39.67,80.01
P1023,UrbanLife Classic 24,ACCESSORIES,Astra,9.52,22.31
P1024,Astra Max 25,Books,Mira,8.55,16.13
P1025,Nexo Pro 26,ELECTRONICS,Ararat Tech,113.91,265.62
P1026,Lumen Max 27,'Electronics',Vertex,,186.86
P1027,Mira X 28,"Books,",Nexo,59.43,106.26
P1028,Ararat Tech Max 29,Home,Mira,61.0,132.35
P1029,Mira Go 30,'Books',Vertex,64.41,82.21
P1030,Ararat Tech X 31,elecTrOnicS,Nexo,124.03,284.97
P1031,Peak Classic 32,CLOTHING,Astra,15.17,37.34
P1032,Nova Pro 33,Home,Astra,167.6,306.5
P1033,Astra Lite 34,Sports,Nova,43.94,83.46
P1034,Nova Classic 35,Books,UrbanLife,179.94,447.04
P1035,Ararat Tech Pro 36,Sports,Vertex,35.02,83.16
P1036,HomePro Pro 37,Home,UrbanLife,140.02,233.53
P1037,Mira Max 38,Home,Nova,44.1,75.84
P1038,UrbanLife Go 39,#Home,Peak,19.15,42.79
P1039,UrbanLife Go 40,#beAUty,Mira,158.11,326.76
P1040,Astra Lite 41,#Books,Nexo,,230.63
P1041,Astra Max 42,Accessories,Lumen,75.62,-128.51
P1042,Astra Max 43,"""CLOTHING""",UrbanLife,127.92,326.83
